SysDate-ms	SysDate	SysTime-ms	SameValues	U1	U2	U3	
05/17/2019 22:15:29 000	05/17/2019 22:15:29	000	1			
05/17/2019 22:15:30 001	05/17/2019 22:15:30	001	1			
05/17/2019 22:15:31 000	05/17/2019 22:15:31	000	1			
05/17/2019 22:15:32 001	05/17/2019 22:15:32	001	1			
05/17/2019 22:15:33 000	05/17/2019 22:15:33	000	1			
05/17/2019 22:15:34 000	05/17/2019 22:15:34	000	1			
05/17/2019 22:15:35 001	05/17/2019 22:15:35	001	1			
05/17/2019 22:15:36 000	05/17/2019 22:15:36	000	1			
05/17/2019 22:15:37 001	05/17/2019 22:15:37	001	1			
05/17/2019 22:15:38 000	05/17/2019 22:15:38	000	1			
05/17/2019 22:15:39 001	05/17/2019 22:15:39	001	1			
05/17/2019 22:15:40 000	05/17/2019 22:15:40	000	1			
05/17/2019 22:15:41 000	05/17/2019 22:15:41	000	1			
05/17/2019 22:15:42 000	05/17/2019 22:15:42	000	1			
05/17/2019 22:15:43 000	05/17/2019 22:15:43	000	1			
05/17/2019 22:15:44 001	05/17/2019 22:15:44	001	1			
05/17/2019 22:15:45 000	05/17/2019 22:15:45	000	1			
05/17/2019 22:15:46 000	05/17/2019 22:15:46	000	1			
05/17/2019 22:15:47 001	05/17/2019 22:15:47	001	1			
05/17/2019 22:15:48 001	05/17/2019 22:15:48	001	1			
05/17/2019 22:15:49 000	05/17/2019 22:15:49	000	1			
05/17/2019 22:15:50 001	05/17/2019 22:15:50	001	1			
05/17/2019 22:15:51 000	05/17/2019 22:15:51	000	1			
05/17/2019 22:15:52 001	05/17/2019 22:15:52	001	1			
05/17/2019 22:15:53 000	05/17/2019 22:15:53	000	1			
05/17/2019 22:15:54 001	05/17/2019 22:15:54	001	1			
05/17/2019 22:15:55 000	05/17/2019 22:15:55	000	1			
05/17/2019 22:15:56 000	05/17/2019 22:15:56	000	1			
05/17/2019 22:15:57 001	05/17/2019 22:15:57	001	1			
05/17/2019 22:15:58 000	05/17/2019 22:15:58	000	1			
05/17/2019 22:15:59 001	05/17/2019 22:15:59	001	1			
05/17/2019 22:16:00 000	05/17/2019 22:16:00	000	1			
05/17/2019 22:16:01 001	05/17/2019 22:16:01	001	1			
05/17/2019 22:16:02 004	05/17/2019 22:16:02	004	1			
05/17/2019 22:16:03 001	05/17/2019 22:16:03	001	1			
05/17/2019 22:16:04 001	05/17/2019 22:16:04	001	1			
05/17/2019 22:16:05 000	05/17/2019 22:16:05	000	1			
05/17/2019 22:16:06 000	05/17/2019 22:16:06	000	1			
