SysDate-ms	SysDate	SysTime-ms	SameValues	Q	SMM_Time	SysMemoryLoad	P	K3	Rm	K2	Q1	P1	I2	I1	Q3	U2	Ap	P3	Q2	U1	f	P2	SysCpuLoad	SMX_SysDateTime	I3	Am	K1	Rp	U3	
03/13/2018 21:35:14 001	03/13/2018 21:35:14	001	0			51.337696470918516																	79.64365991534518	03/13/2018 21:35:14						
03/13/2018 21:35:15 000	03/13/2018 21:35:15	000	0			51.309885832907085																	84.8079592362223	03/13/2018 21:35:15						
03/13/2018 21:35:16 000	03/13/2018 21:35:16	000	0			51.35706587486457																	82.12080270535196	03/13/2018 21:35:16						
03/13/2018 21:35:17 007	03/13/2018 21:35:17	007	0			51.40917196276388																	81.5147215243013	03/13/2018 21:35:17						
03/13/2018 21:35:18 007	03/13/2018 21:35:18	007	0			51.356898484953916																	87.33774790801871	03/13/2018 21:35:18						
03/13/2018 21:35:19 000	03/13/2018 21:35:19	000	0			51.38573737527359																	83.87495836751526	03/13/2018 21:35:19						
03/13/2018 21:35:20 000	03/13/2018 21:35:20	000	0			51.38836778815516																	83.83358368546507	03/13/2018 21:35:20						
03/13/2018 21:35:21 001	03/13/2018 21:35:21	001	0			51.44188473387276																	84.39428242463612	03/13/2018 21:35:21						
03/13/2018 21:35:22 000	03/13/2018 21:35:22	000	0			51.35830934277221																	85.6804680012709	03/13/2018 21:35:22						
03/13/2018 21:35:23 003	03/13/2018 21:35:23	003	0			51.33011609925074																	83.59758324479569	03/13/2018 21:35:23						
03/13/2018 21:35:24 004	03/13/2018 21:35:24	004	0			51.36278104467087																	76.99307232713286	03/13/2018 21:35:24						
03/13/2018 21:35:25 001	03/13/2018 21:35:25	001	0			51.39637859102173																	81.40316407458275	03/13/2018 21:35:25						
03/13/2018 21:35:26 000	03/13/2018 21:35:26	000	0			51.35575066842378																	80.17319094631415	03/13/2018 21:35:25						
03/13/2018 21:35:27 002	03/13/2018 21:35:27	002	0			51.415532779368384																	87.60200828825329	03/13/2018 21:35:27						
03/13/2018 21:35:28 000	03/13/2018 21:35:28	000	0			51.380428723821716																	80.75294588594709	03/13/2018 21:35:28						
03/13/2018 21:35:29 001	03/13/2018 21:35:29	001	0			51.402117673672414																	83.5646166394551	03/13/2018 21:35:29						
03/13/2018 21:35:30 001	03/13/2018 21:35:30	001	0			51.42208489872791																	84.25633797609453	03/13/2018 21:35:30						
03/13/2018 21:35:31 000	03/13/2018 21:35:31	000	0			51.40546547188531																	84.24056174271557	03/13/2018 21:35:30						
03/13/2018 21:35:32 000	03/13/2018 21:35:32	000	0			51.41830666931621																	79.26012479315844	03/13/2018 21:35:32						
03/13/2018 21:35:33 001	03/13/2018 21:35:33	001	0			51.41830666931621																	79.26012479315844	03/13/2018 21:35:33						
03/13/2018 21:35:34 000	03/13/2018 21:35:34	000	0			51.419263183091324																	82.55613395446898	03/13/2018 21:35:34						
03/13/2018 21:35:35 001	03/13/2018 21:35:35	001	0			51.39408295796146																	84.50882099382633	03/13/2018 21:35:35						
03/13/2018 21:35:36 000	03/13/2018 21:35:36	000	0			51.28444256648907																	80.343090574532	03/13/2018 21:35:35						
03/13/2018 21:35:37 002	03/13/2018 21:35:37	002	0			51.36462233368796																	81.40317521892216	03/13/2018 21:35:37						
03/13/2018 21:35:38 003	03/13/2018 21:35:38	003	0			51.40462852233209																	79.66163977497388	03/13/2018 21:35:37						
03/13/2018 21:35:39 000	03/13/2018 21:35:39	000	0			51.32542918175268																	82.52233337552414	03/13/2018 21:35:39						
03/13/2018 21:35:40 001	03/13/2018 21:35:40	001	0			51.37631571458873																	82.0576816305511	03/13/2018 21:35:40						
03/13/2018 21:35:41 000	03/13/2018 21:35:41	000	0			51.384039563322766																	81.90524522101063	03/13/2018 21:35:40						
03/13/2018 21:35:42 000	03/13/2018 21:35:42	000	0			51.370313590649886																	80.24264666832512	03/13/2018 21:35:42						
03/13/2018 21:35:43 000	03/13/2018 21:35:43	000	0			51.39537425155786																	82.90382329417095	03/13/2018 21:35:43						
03/13/2018 21:35:44 001	03/13/2018 21:35:44	001	0			51.348074645378496																	82.93812035437533	03/13/2018 21:35:44						
03/13/2018 21:35:45 000	03/13/2018 21:35:45	000	0			51.348074645378496																	82.93812035437533	03/13/2018 21:35:45						
03/13/2018 21:35:46 001	03/13/2018 21:35:46	001	0			51.310244525572756																	81.90524522101063	03/13/2018 21:35:46						
03/13/2018 21:35:47 002	03/13/2018 21:35:47	002	0			51.34860072795481																	82.97228203778498	03/13/2018 21:35:46						
03/13/2018 21:35:48 000	03/13/2018 21:35:48	000	0			51.33437258554999																	82.16560184788982	03/13/2018 21:35:47						
03/13/2018 21:35:49 000	03/13/2018 21:35:49	000	0			51.36555493461869																	80.95583803174367	03/13/2018 21:35:49						
